year,month,day,length
2022,12,30,969
2022,12,30,2292
2022,12,30,822
2022,12,30,366
2022,12,31,774
2023,01,01,136
2023,01,02,1026
2023,01,02,778
2023,01,03,166
2023,01,03,588
2023,01,03,1403
2023,01,04,1055
2023,01,04,1157
2023,01,04,405
2023,01,04,595
2023,01,05,16
2023,01,05,440
2023,01,05,484
2023,01,06,540
2023,01,06,1001
2023,01,06,343
2023,01,06,572
2023,01,06,757
2023,01,08,485
2023,01,09,509
2023,01,10,1376
2023,01,11,434
2023,01,12,828
2023,01,12,155
2023,01,14,427
2023,01,15,465
2023,01,16,424
2023,01,17,750
2023,01,17,1062
2023,01,18,1364
2023,01,19,745
2023,01,19,370
2023,01,19,636
2023,01,19,1308
2023,01,21,339
2023,01,23,838
2023,01,24,589
2023,01,24,516
2023,01,25,438
2023,01,25,124
2023,01,26,615
2023,01,26,104
2023,01,26,273
2023,01,26,193
2023,01,26,1200
2023,01,27,988
2023,01,27,782
2023,01,27,781
2023,01,27,707
2023,01,27,918
2023,01,28,721
2023,01,28,992
2023,01,28,439
2023,01,29,607
2023,01,29,778
2023,01,29,870
2023,01,29,430
2023,01,29,487
2023,01,29,807
2023,01,30,972
2023,01,30,814
2023,01,30,1450
2023,01,30,479
2023,01,31,802
2023,01,31,988
2023,02,02,973
2023,02,02,178
2023,02,02,618
2023,02,02,496
2023,02,03,181
2023,02,03,1110
2023,02,03,1705
2023,02,03,477
2023,02,04,572
2023,02,04,250
2023,02,04,356
2023,02,06,652
2023,02,08,1263
2023,02,09,1048
2023,02,09,614
2023,02,10,535
2023,02,10,128
2023,02,12,626
2023,02,13,127
2023,02,13,472
2023,02,13,398
2023,02,14,596
2023,02,14,1318
2023,02,14,586
2023,02,15,1204
2023,02,17,992
2023,02,19,772
2023,02,20,729
2023,02,20,770
2023,02,20,455
2023,02,21,1355
2023,02,21,642
2023,02,22,168
2023,02,22,737
2023,02,22,966
2023,02,22,123
2023,02,23,986
2023,02,23,1120
2023,02,23,29
2023,02,23,887
2023,02,24,379
2023,02,24,882
2023,02,26,939
2023,02,26,858
2023,02,26,817
2023,02,27,989
2023,02,27,1138
2023,02,27,300
2023,02,27,1176
2023,02,28,978
2023,02,28,1090
2023,02,28,338
2023,03,01,568
2023,03,01,870
2023,03,02,873
2023,03,02,535
2023,03,03,859
2023,03,03,582
2023,03,03,503
2023,03,04,184
2023,03,07,746
2023,03,07,840
2023,03,08,758
2023,03,09,539
2023,03,09,459
2023,03,10,952
2023,03,10,418
2023,03,12,449
2023,03,13,760
2023,03,16,441
2023,03,18,333
2023,03,19,574
2023,03,19,725
2023,03,20,636
2023,03,21,670
2023,03,21,342
2023,03,21,497
2023,03,22,276
2023,03,22,113
2023,03,23,179
2023,03,24,634
2023,03,24,724
2023,03,26,582
2023,03,28,448
2023,03,28,800
2023,03,29,379
2023,03,30,986
2023,03,31,1134
2023,03,31,771
2023,04,01,460
2023,04,01,1145
2023,04,02,860
2023,04,02,528
2023,04,03,652
2023,04,03,954
2023,04,03,486
2023,04,03,147
2023,04,03,210
2023,04,05,869
2023,04,05,744
2023,04,05,931
2023,04,05,444
2023,04,05,352
2023,04,05,1109
2023,04,06,652
2023,04,06,877
2023,04,06,1020
2023,04,07,20
2023,04,07,286
2023,04,07,640
2023,04,07,1028
2023,04,07,559
2023,04,07,896
2023,04,07,34
2023,04,08,882
2023,04,09,1992
2023,04,09,3545
2023,04,09,966
2023,04,09,859
2023,04,10,632
2023,04,11,493
2023,04,11,1488
2023,04,11,33
2023,04,11,298
2023,04,11,1709
2023,04,11,865
2023,04,12,811
2023,04,12,1296
2023,04,12,549
2023,04,12,1393
2023,04,14,794
2023,04,14,575
2023,04,17,500
2023,04,18,426
2023,04,18,921
2023,04,19,2872
2023,04,24,405
2023,04,24,314
2023,04,27,517
2023,04,28,314
2023,05,02,703
2023,05,02,1072
2023,05,02,582
2023,05,02,118
2023,05,02,697
2023,05,02,1230
2023,05,02,28
2023,05,02,814
2023,05,03,1008
2023,05,03,345
2023,05,03,720
2023,05,03,756
2023,05,04,682
2023,05,04,392
2023,05,04,649
2023,05,06,467
2023,05,06,110
2023,05,07,380
2023,05,08,597
2023,05,08,542
2023,05,08,1327
2023,05,09,684
2023,05,09,478
2023,05,09,656
2023,05,09,25
2023,05,10,22
2023,05,10,937
2023,05,10,474
2023,05,10,545
2023,05,10,369
2023,05,11,629
2023,05,11,947
2023,05,11,808
2023,05,11,1767
2023,05,11,915
2023,05,11,446
2023,05,11,169
2023,05,11,102
2023,05,11,1215
2023,05,11,1173
2023,05,11,856
2023,05,11,1070
2023,05,11,33
2023,05,12,920
2023,05,12,1000
2023,05,13,493
2023,05,13,32
2023,05,13,113
2023,05,13,183
2023,05,14,1064
2023,05,15,1267
2023,05,15,1514
2023,05,15,155
2023,05,15,1253
2023,05,15,29
2023,05,16,770
2023,05,17,1623
2023,05,17,988
2023,05,18,930
2023,05,18,984
2023,05,18,638
2023,05,18,801
2023,05,18,1119
2023,05,18,898
2023,05,18,1317
2023,05,21,567
2023,05,22,2273
2023,05,22,660
2023,05,22,471
2023,05,23,706
2023,05,24,1899
2023,05,24,1174
2023,05,25,1056
2023,05,25,378
2023,05,26,631
2023,05,26,818
2023,05,27,596
2023,05,28,1011
2023,05,29,403
2023,05,29,779
2023,05,29,1635
2023,05,30,341
2023,05,30,1079
2023,05,31,1242
2023,06,01,1674
2023,06,02,313
2023,06,02,1074
2023,06,04,2013
2023,06,05,745
2023,06,05,1003
2023,06,05,1045
2023,06,06,781
2023,06,08,1085
2023,06,08,632
2023,06,08,451
2023,06,09,207
2023,06,09,364
2023,06,10,1095
2023,06,13,407
2023,06,13,745
2023,06,14,751
2023,06,14,349
2023,06,14,116
2023,06,14,900
2023,06,15,495
2023,06,15,547
2023,06,16,877
2023,06,17,820
2023,06,17,1327
2023,06,19,205
2023,06,19,33
2023,06,19,995
2023,06,20,222
2023,06,20,32
2023,06,20,905
2023,06,20,1550
2023,06,20,691
2023,06,20,587
2023,06,20,646
2023,06,21,507
2023,06,21,888
2023,06,21,480
2023,06,22,838
2023,06,22,380
2023,06,22,1106
2023,06,22,1825
2023,06,22,338
2023,06,23,794
2023,06,23,167
2023,06,23,821
2023,06,23,432
2023,06,23,885
2023,06,24,370
2023,06,25,444
2023,06,26,1087
2023,06,26,949
2023,06,27,1718
2023,06,28,780
2023,06,28,491
2023,06,28,902
2023,06,29,920
2023,06,29,1243
2023,06,30,110
2023,07,01,299
2023,07,02,286
2023,07,03,988
2023,07,03,991
2023,07,03,601
2023,07,03,854
2023,07,03,684
2023,07,03,35
2023,07,03,188
2023,07,03,1679
2023,07,04,672
2023,07,04,541
2023,07,04,292
2023,07,04,34
2023,07,05,1394
2023,07,05,751
2023,07,05,255
2023,07,05,32
2023,07,05,1292
2023,07,06,175
2023,07,06,903
2023,07,06,348
2023,07,06,652
2023,07,06,1284
2023,07,06,566
2023,07,06,1167
2023,07,07,1061
2023,07,07,787
2023,07,07,410
2023,07,07,32
2023,07,07,452
2023,07,08,575
2023,07,08,160
2023,07,08,366
2023,07,08,1163
2023,07,08,362
2023,07,10,429
2023,07,10,396
2023,07,10,1107
2023,07,11,665
2023,07,11,219
2023,07,11,529
2023,07,12,624
2023,07,12,698
2023,07,13,628
2023,07,13,145
2023,07,13,1011
2023,07,13,1177
2023,07,14,296
2023,07,14,1084
2023,07,15,642
2023,07,15,1335
2023,07,16,350
2023,07,17,610
2023,07,17,1346
2023,07,18,936
2023,07,18,901
2023,07,19,662
2023,07,19,155
2023,07,19,1222
2023,07,20,460
2023,07,20,1127
2023,07,20,1807
2023,07,20,328
2023,07,21,718
2023,07,22,568
2023,07,23,1054
2023,07,24,1035
2023,07,25,456
2023,07,26,467
2023,07,26,367
2023,07,26,388
2023,07,27,120
2023,07,27,871
2023,07,27,629
2023,07,28,1686
2023,07,28,857
2023,07,28,157
2023,07,31,559
2023,08,01,451
2023,08,02,1430
2023,08,04,670
2023,08,05,521
2023,08,06,617
2023,08,08,851
2023,08,08,469
2023,08,09,665
2023,08,09,167
2023,08,10,327
2023,08,11,568
2023,08,11,433
2023,08,12,434
2023,08,15,285
2023,08,17,1192
2023,08,17,1020
2023,08,18,528
2023,08,19,718
2023,08,20,679
2023,08,21,664
2023,08,21,730
2023,08,22,704
2023,08,22,742
2023,08,22,619
2023,08,24,706
2023,08,25,526
2023,08,26,518
2023,08,27,667
2023,08,27,1268
2023,08,28,446
2023,08,28,1361
2023,08,28,1064
2023,08,28,1077
2023,08,28,270
2023,08,30,293
2023,08,30,572
2023,08,30,460
2023,08,31,574
2023,08,31,1088
2023,08,31,1240
2023,08,31,375
2023,08,31,1203
2023,09,01,569
2023,09,05,735
2023,09,05,700
2023,09,05,238
2023,09,06,183
2023,09,07,558
2023,09,08,401
2023,09,08,463
2023,09,10,552
2023,09,13,1556
2023,09,13,926
2023,09,14,1289
2023,09,14,491
2023,09,14,111
2023,09,15,978
2023,09,15,537
2023,09,17,367
2023,09,17,1298
2023,09,19,812
2023,09,20,474
2023,09,20,780
2023,09,21,302
2023,09,21,548
2023,09,22,532
2023,09,22,1188
2023,09,22,358
2023,09,24,440
2023,09,25,546
2023,09,27,440
2023,09,27,666
2023,09,28,1048
2023,09,29,408
2023,09,30,365
2023,10,02,174
2023,10,04,660
2023,10,04,870
2023,10,05,744
2023,10,06,565
2023,10,06,619
2023,10,06,1391
2023,10,07,1176
2023,10,07,424
2023,10,07,90
2023,10,07,106
2023,10,07,531
2023,10,07,274
2023,10,07,179
2023,10,07,2301
2023,10,07,119
2023,10,07,242
2023,10,07,20
2023,10,07,1041
2023,10,08,528
2023,10,08,190
2023,10,08,665
2023,10,08,446
2023,10,08,189
2023,10,08,944
2023,10,08,858
2023,10,08,753
2023,10,08,268
2023,10,08,97
2023,10,08,25
2023,10,08,531
2023,10,09,632
2023,10,09,381
2023,10,09,770
2023,10,09,214
2023,10,09,1222
2023,10,09,753
2023,10,09,383
2023,10,09,752
2023,10,09,25
2023,10,09,1088
2023,10,09,1074
2023,10,09,518
2023,10,09,352
2023,10,09,181
2023,10,09,556
2023,10,09,1108
2023,10,09,386
2023,10,09,1019
2023,10,09,328
2023,10,09,599
2023,10,09,311
2023,10,09,67
2023,10,09,358
2023,10,09,27
2023,10,09,654
2023,10,10,17
2023,10,10,785
2023,10,10,809
2023,10,10,661
2023,10,10,100
2023,10,10,969
2023,10,10,703
2023,10,10,38
2023,10,10,512
2023,10,10,461
2023,10,10,1016
2023,10,10,964
2023,10,10,62
2023,10,10,737
2023,10,10,787
2023,10,10,82
2023,10,10,478
2023,10,10,1040
2023,10,10,989
2023,10,10,571
2023,10,10,22
2023,10,10,827
2023,10,10,330
2023,10,10,26
2023,10,10,725
2023,10,10,168
2023,10,10,860
2023,10,10,1244
2023,10,10,423
2023,10,11,18
2023,10,11,457
2023,10,11,399
2023,10,11,118
